year_month,year,month,series_name,category,region,value,index_2015,pct_change_2015
2018-10-01,2018,10,Sweets,processed_food,National,215.318,99.62987026758155,-0.37012973241844954
2018-11-01,2018,11,Sweets,processed_food,National,216.037,99.96255901967098,-0.03744098032902577
2018-12-01,2018,12,Sweets,processed_food,National,214.957,99.46283182599005,-0.5371681740099503
2019-01-01,2019,1,Sweets,processed_food,National,217.745,100.75286832227006,0.7528683222700562
2019-02-01,2019,2,Sweets,processed_food,National,218.293,101.00643360202668,1.0064336020266713
2019-03-01,2019,3,Sweets,processed_food,National,220.618,102.08223519953421,2.0822351995341997
2019-04-01,2019,4,Sweets,processed_food,National,217.498,100.63857886223377,0.6385788622337655
2019-05-01,2019,5,Sweets,processed_food,National,217.744,100.75240561190553,0.7524056119055346
2019-06-01,2019,6,Sweets,processed_food,National,220.473,102.01514219667891,2.0151421966788994
2019-07-01,2019,7,Sweets,processed_food,National,219.552,101.58898595095656,1.5889859509565507
2019-08-01,2019,8,Sweets,processed_food,National,219.893,101.74677018525766,1.7467701852576596
2019-09-01,2019,9,Sweets,processed_food,National,223.481,103.40697497315314,3.406974973153153
2019-10-01,2019,10,Sweets,processed_food,National,223.642,103.48147134184077,3.481471341840772
2019-11-01,2019,11,Sweets,processed_food,National,223.429,103.38291403419815,3.38291403419815
2019-12-01,2019,12,Sweets,processed_food,National,220.581,102.06511491604698,2.06511491604698
2020-01-01,2020,1,Sweets,processed_food,National,224.796,104.01543910249613,4.015439102496123
2020-02-01,2020,2,Sweets,processed_food,National,224.16,103.72115531066181,3.7211553106618065
2020-03-01,2020,3,Sweets,processed_food,National,225.805,104.48231386029619,4.482313860296173
2020-04-01,2020,4,Sweets,processed_food,National,227.755,105.38459907110894,5.384599071108938
2020-05-01,2020,5,Sweets,processed_food,National,229.24,106.07172396242022,6.071723962420208
2020-06-01,2020,6,Sweets,processed_food,National,226.922,104.9991613374643,4.9991613374643045
2020-07-01,2020,7,Sweets,processed_food,National,225.532,104.35599393078239,4.355993930782387
2020-08-01,2020,8,Sweets,processed_food,National,227.252,105.1518557577557,5.151855757755701
2020-09-01,2020,9,Sweets,processed_food,National,227.855,105.43087010756086,5.430870107560872
2020-10-01,2020,10,Sweets,processed_food,National,230.092,106.4659531929907,6.465953192990711
2020-11-01,2020,11,Sweets,processed_food,National,230.249,106.53859872022025,6.538598720220244
2020-12-01,2020,12,Sweets,processed_food,National,231.476,107.10634433748551,7.106344337485512
